id,Expenditure,N
25,Total.Fish.and..marine.products.Expenditure,7555
25,Fruit.Expenditure,1550
25,Vegetables.Expenditure,4988
26,Bread.and.Cereals.Expenditure,19491
26,Total.Rice.Expenditure,15928
26,Meat.Expenditure,12557
26,Total.Fish.and..marine.products.Expenditure,9245
26,Fruit.Expenditure,1710
26,Vegetables.Expenditure,4495
27,Bread.and.Cereals.Expenditure,15843
27,Total.Rice.Expenditure,14118
27,Meat.Expenditure,7937
27,Total.Fish.and..marine.products.Expenditure,9160
27,Fruit.Expenditure,1470
27,Vegetables.Expenditure,5330
28,Bread.and.Cereals.Expenditure,29144
28,Total.Rice.Expenditure,22565
28,Meat.Expenditure,15591
28,Total.Fish.and..marine.products.Expenditure,12229
28,Fruit.Expenditure,2120
28,Vegetables.Expenditure,3990
29,Bread.and.Cereals.Expenditure,41313
29,Total.Rice.Expenditure,36563
29,Meat.Expenditure,15018
29,Total.Fish.and..marine.products.Expenditure,11071
29,Fruit.Expenditure,2210
29,Vegetables.Expenditure,5190
30,Bread.and.Cereals.Expenditure,34152
30,Total.Rice.Expenditure,28252
30,Meat.Expenditure,12006
30,Total.Fish.and..marine.products.Expenditure,9480
30,Fruit.Expenditure,1785
30,Vegetables.Expenditure,5830
31,Bread.and.Cereals.Expenditure,16761
31,Total.Rice.Expenditure,13876
31,Meat.Expenditure,14040
31,Total.Fish.and..marine.products.Expenditure,14379
31,Fruit.Expenditure,2140
31,Vegetables.Expenditure,6935
32,Bread.and.Cereals.Expenditure,29819
32,Total.Rice.Expenditure,21515
32,Meat.Expenditure,19552
32,Total.Fish.and..marine.products.Expenditure,18234
32,Fruit.Expenditure,1675
32,Vegetables.Expenditure,7112
33,Bread.and.Cereals.Expenditure,24996
33,Total.Rice.Expenditure,19266
33,Meat.Expenditure,16800
33,Total.Fish.and..marine.products.Expenditure,18452
33,Fruit.Expenditure,1790
33,Vegetables.Expenditure,11700
34,Bread.and.Cereals.Expenditure,34648
34,Total.Rice.Expenditure,17984
34,Meat.Expenditure,18876
34,Total.Fish.and..marine.products.Expenditure,14960
34,Fruit.Expenditure,2140
34,Vegetables.Expenditure,11420
35,Bread.and.Cereals.Expenditure,42271
35,Total.Rice.Expenditure,36470
35,Meat.Expenditure,12476
35,Total.Fish.and..marine.products.Expenditure,17220
35,Fruit.Expenditure,2295
35,Vegetables.Expenditure,9625
36,Bread.and.Cereals.Expenditure,19270
36,Total.Rice.Expenditure,13870
36,Meat.Expenditure,11908
36,Total.Fish.and..marine.products.Expenditure,14126
36,Fruit.Expenditure,2100
36,Vegetables.Expenditure,8295
37,Bread.and.Cereals.Expenditure,17486
37,Total.Rice.Expenditure,13290
37,Meat.Expenditure,5796
37,Total.Fish.and..marine.products.Expenditure,9579
37,Fruit.Expenditure,1600
37,Vegetables.Expenditure,4735
38,Bread.and.Cereals.Expenditure,58254
38,Total.Rice.Expenditure,46517
38,Meat.Expenditure,11810
38,Total.Fish.and..marine.products.Expenditure,8847
38,Fruit.Expenditure,2045
38,Vegetables.Expenditure,6350
39,Bread.and.Cereals.Expenditure,37629
39,Total.Rice.Expenditure,31191
39,Meat.Expenditure,12088
39,Total.Fish.and..marine.products.Expenditure,12811
39,Fruit.Expenditure,1265
39,Vegetables.Expenditure,7625
40,Bread.and.Cereals.Expenditure,41137
40,Total.Rice.Expenditure,32816
40,Meat.Expenditure,14958
40,Total.Fish.and..marine.products.Expenditure,11856
40,Fruit.Expenditure,1240
40,Vegetables.Expenditure,7015
41,Bread.and.Cereals.Expenditure,36695
41,Total.Rice.Expenditure,30316
41,Meat.Expenditure,15101
41,Total.Fish.and..marine.products.Expenditure,6736
41,Fruit.Expenditure,2110
41,Vegetables.Expenditure,7140
42,Bread.and.Cereals.Expenditure,26868
42,Total.Rice.Expenditure,19651
42,Meat.Expenditure,9937
42,Total.Fish.and..marine.products.Expenditure,8706
42,Fruit.Expenditure,1880
42,Vegetables.Expenditure,4065
43,Bread.and.Cereals.Expenditure,38561
43,Total.Rice.Expenditure,31772
43,Meat.Expenditure,8324
43,Total.Fish.and..marine.products.Expenditure,5210
43,Fruit.Expenditure,2190
43,Vegetables.Expenditure,12510
44,Bread.and.Cereals.Expenditure,29979
44,Total.Rice.Expenditure,25713
44,Meat.Expenditure,23704
44,Total.Fish.and..marine.products.Expenditure,8417
44,Fruit.Expenditure,1775
44,Vegetables.Expenditure,6350
45,Bread.and.Cereals.Expenditure,20355
45,Total.Rice.Expenditure,16226
45,Meat.Expenditure,29084
45,Total.Fish.and..marine.products.Expenditure,15827
45,Fruit.Expenditure,2200
45,Vegetables.Expenditure,5930
46,Bread.and.Cereals.Expenditure,35920
46,Total.Rice.Expenditure,29684
46,Meat.Expenditure,8002
46,Total.Fish.and..marine.products.Expenditure,7907
46,Fruit.Expenditure,1300
46,Vegetables.Expenditure,5270
47,Bread.and.Cereals.Expenditure,32136
47,Total.Rice.Expenditure,27872
47,Meat.Expenditure,12686
47,Total.Fish.and..marine.products.Expenditure,7479
47,Fruit.Expenditure,1775
47,Vegetables.Expenditure,6090
48,Bread.and.Cereals.Expenditure,36213
48,Total.Rice.Expenditure,30861
48,Meat.Expenditure,16505
48,Total.Fish.and..marine.products.Expenditure,8884
48,Fruit.Expenditure,1930
48,Vegetables.Expenditure,7710
49,Bread.and.Cereals.Expenditure,19431
49,Total.Rice.Expenditure,16060
49,Meat.Expenditure,18464
49,Total.Fish.and..marine.products.Expenditure,9509
49,Fruit.Expenditure,1940
49,Vegetables.Expenditure,4330
50,Bread.and.Cereals.Expenditure,46235
50,Total.Rice.Expenditure,36272
50,Meat.Expenditure,30450
50,Total.Fish.and..marine.products.Expenditure,14452
50,Fruit.Expenditure,2360
50,Vegetables.Expenditure,8720
51,Bread.and.Cereals.Expenditure,25378
51,Total.Rice.Expenditure,19254
51,Meat.Expenditure,14050
51,Total.Fish.and..marine.products.Expenditure,10974
51,Fruit.Expenditure,1195
51,Vegetables.Expenditure,5850
52,Bread.and.Cereals.Expenditure,98241
52,Total.Rice.Expenditure,82536
52,Meat.Expenditure,46818
52,Total.Fish.and..marine.products.Expenditure,19718
52,Fruit.Expenditure,3180
52,Vegetables.Expenditure,9555
53,Bread.and.Cereals.Expenditure,20938
53,Total.Rice.Expenditure,15928
53,Meat.Expenditure,15204
53,Total.Fish.and..marine.products.Expenditure,12031
53,Fruit.Expenditure,1810
53,Vegetables.Expenditure,7027
54,Bread.and.Cereals.Expenditure,27303
54,Total.Rice.Expenditure,19910
54,Meat.Expenditure,25452
54,Total.Fish.and..marine.products.Expenditure,16129
54,Fruit.Expenditure,1865
54,Vegetables.Expenditure,7125
55,Bread.and.Cereals.Expenditure,21286
55,Total.Rice.Expenditure,18100
55,Meat.Expenditure,25542
55,Total.Fish.and..marine.products.Expenditure,11433
55,Fruit.Expenditure,1760
55,Vegetables.Expenditure,5890
56,Bread.and.Cereals.Expenditure,24404
56,Total.Rice.Expenditure,20091
56,Meat.Expenditure,12474
56,Total.Fish.and..marine.products.Expenditure,9405
56,Fruit.Expenditure,1445
56,Vegetables.Expenditure,6350
57,Bread.and.Cereals.Expenditure,47508
57,Total.Rice.Expenditure,41268
57,Meat.Expenditure,36464
57,Total.Fish.and..marine.products.Expenditure,24387
57,Fruit.Expenditure,2710
57,Vegetables.Expenditure,9885
58,Bread.and.Cereals.Expenditure,20468
58,Total.Rice.Expenditure,16036
58,Meat.Expenditure,11174
58,Total.Fish.and..marine.products.Expenditure,7412
58,Fruit.Expenditure,1500
58,Vegetables.Expenditure,3900
59,Bread.and.Cereals.Expenditure,23470
59,Total.Rice.Expenditure,15984
59,Meat.Expenditure,8195
59,Total.Fish.and..marine.products.Expenditure,7778
59,Fruit.Expenditure,1170
59,Vegetables.Expenditure,6060
60,Bread.and.Cereals.Expenditure,41950
60,Total.Rice.Expenditure,38010
60,Meat.Expenditure,12101
60,Total.Fish.and..marine.products.Expenditure,9600
60,Fruit.Expenditure,1460
60,Vegetables.Expenditure,5130
61,Bread.and.Cereals.Expenditure,36637
61,Total.Rice.Expenditure,30060
61,Meat.Expenditure,61482
61,Total.Fish.and..marine.products.Expenditure,25812
61,Fruit.Expenditure,3430
61,Vegetables.Expenditure,8660
62,Bread.and.Cereals.Expenditure,43094
62,Total.Rice.Expenditure,38102
62,Meat.Expenditure,7039
62,Total.Fish.and..marine.products.Expenditure,7233
62,Fruit.Expenditure,1710
62,Vegetables.Expenditure,5690
63,Bread.and.Cereals.Expenditure,19999
63,Total.Rice.Expenditure,17076
63,Meat.Expenditure,6530
63,Total.Fish.and..marine.products.Expenditure,6896
63,Fruit.Expenditure,1480
63,Vegetables.Expenditure,4510
64,Bread.and.Cereals.Expenditure,49902
