id,Expenditure,N
124,Meat.Expenditure,5696
124,Total.Fish.and..marine.products.Expenditure,7070
124,Fruit.Expenditure,1940
124,Vegetables.Expenditure,4490
125,Bread.and.Cereals.Expenditure,32251
125,Total.Rice.Expenditure,25389
125,Meat.Expenditure,24144
125,Total.Fish.and..marine.products.Expenditure,11471
125,Fruit.Expenditure,5200
125,Vegetables.Expenditure,9435
126,Bread.and.Cereals.Expenditure,25177
126,Total.Rice.Expenditure,18929
126,Meat.Expenditure,22484
126,Total.Fish.and..marine.products.Expenditure,9272
126,Fruit.Expenditure,2200
126,Vegetables.Expenditure,6135
127,Bread.and.Cereals.Expenditure,21598
127,Total.Rice.Expenditure,16016
127,Meat.Expenditure,10594
127,Total.Fish.and..marine.products.Expenditure,8236
127,Fruit.Expenditure,1995
127,Vegetables.Expenditure,6500
128,Bread.and.Cereals.Expenditure,36720
128,Total.Rice.Expenditure,32250
128,Meat.Expenditure,10426
128,Total.Fish.and..marine.products.Expenditure,8823
128,Fruit.Expenditure,2170
128,Vegetables.Expenditure,6741
129,Bread.and.Cereals.Expenditure,21152
129,Total.Rice.Expenditure,16626
129,Meat.Expenditure,9504
129,Total.Fish.and..marine.products.Expenditure,4984
129,Fruit.Expenditure,1520
129,Vegetables.Expenditure,4991
130,Bread.and.Cereals.Expenditure,34245
130,Total.Rice.Expenditure,31183
130,Meat.Expenditure,11734
130,Total.Fish.and..marine.products.Expenditure,10705
130,Fruit.Expenditure,1090
130,Vegetables.Expenditure,5777
131,Bread.and.Cereals.Expenditure,34687
131,Total.Rice.Expenditure,29821
131,Meat.Expenditure,12422
131,Total.Fish.and..marine.products.Expenditure,14430
131,Fruit.Expenditure,2650
131,Vegetables.Expenditure,7257
132,Bread.and.Cereals.Expenditure,15655
132,Total.Rice.Expenditure,12985
132,Meat.Expenditure,5478
132,Total.Fish.and..marine.products.Expenditure,5977
132,Fruit.Expenditure,1625
132,Vegetables.Expenditure,5445
133,Bread.and.Cereals.Expenditure,26642
133,Total.Rice.Expenditure,23072
133,Meat.Expenditure,8716
133,Total.Fish.and..marine.products.Expenditure,7189
133,Fruit.Expenditure,1825
133,Vegetables.Expenditure,5615
134,Bread.and.Cereals.Expenditure,31342
134,Total.Rice.Expenditure,20500
134,Meat.Expenditure,16974
134,Total.Fish.and..marine.products.Expenditure,7917
134,Fruit.Expenditure,1370
134,Vegetables.Expenditure,6400
135,Bread.and.Cereals.Expenditure,28001
135,Total.Rice.Expenditure,22633
135,Meat.Expenditure,11414
135,Total.Fish.and..marine.products.Expenditure,9370
135,Fruit.Expenditure,1530
135,Vegetables.Expenditure,7523
136,Bread.and.Cereals.Expenditure,34160
136,Total.Rice.Expenditure,27668
136,Meat.Expenditure,15146
136,Total.Fish.and..marine.products.Expenditure,10507
136,Fruit.Expenditure,2500
136,Vegetables.Expenditure,6790
137,Bread.and.Cereals.Expenditure,44198
137,Total.Rice.Expenditure,40606
137,Meat.Expenditure,5400
137,Total.Fish.and..marine.products.Expenditure,5241
137,Fruit.Expenditure,1525
137,Vegetables.Expenditure,5090
138,Bread.and.Cereals.Expenditure,27939
138,Total.Rice.Expenditure,20994
138,Meat.Expenditure,7878
138,Total.Fish.and..marine.products.Expenditure,5856
138,Fruit.Expenditure,2980
138,Vegetables.Expenditure,5040
139,Bread.and.Cereals.Expenditure,33538
139,Total.Rice.Expenditure,31977
139,Meat.Expenditure,7428
139,Total.Fish.and..marine.products.Expenditure,7222
139,Fruit.Expenditure,1620
139,Vegetables.Expenditure,4805
140,Bread.and.Cereals.Expenditure,7807
140,Total.Rice.Expenditure,6067
140,Meat.Expenditure,1510
140,Total.Fish.and..marine.products.Expenditure,2483
140,Fruit.Expenditure,720
140,Vegetables.Expenditure,2785
141,Bread.and.Cereals.Expenditure,13083
141,Total.Rice.Expenditure,10707
141,Meat.Expenditure,4351
141,Total.Fish.and..marine.products.Expenditure,5383
141,Fruit.Expenditure,730
141,Vegetables.Expenditure,3845
142,Bread.and.Cereals.Expenditure,23817
142,Total.Rice.Expenditure,19850
142,Meat.Expenditure,8814
142,Total.Fish.and..marine.products.Expenditure,8072
142,Fruit.Expenditure,1525
142,Vegetables.Expenditure,6000
143,Bread.and.Cereals.Expenditure,33960
143,Total.Rice.Expenditure,28775
143,Meat.Expenditure,13842
143,Total.Fish.and..marine.products.Expenditure,6829
143,Fruit.Expenditure,2230
143,Vegetables.Expenditure,5860
144,Bread.and.Cereals.Expenditure,24175
144,Total.Rice.Expenditure,22243
144,Meat.Expenditure,5668
144,Total.Fish.and..marine.products.Expenditure,5477
144,Fruit.Expenditure,1420
144,Vegetables.Expenditure,4545
145,Bread.and.Cereals.Expenditure,46620
145,Total.Rice.Expenditure,43869
145,Meat.Expenditure,7370
145,Total.Fish.and..marine.products.Expenditure,10695
145,Fruit.Expenditure,1750
145,Vegetables.Expenditure,6060
146,Bread.and.Cereals.Expenditure,33161
146,Total.Rice.Expenditure,30551
146,Meat.Expenditure,10194
146,Total.Fish.and..marine.products.Expenditure,5153
146,Fruit.Expenditure,1525
146,Vegetables.Expenditure,6335
147,Bread.and.Cereals.Expenditure,52164
147,Total.Rice.Expenditure,47605
147,Meat.Expenditure,10656
147,Total.Fish.and..marine.products.Expenditure,12213
147,Fruit.Expenditure,1795
147,Vegetables.Expenditure,6275
148,Bread.and.Cereals.Expenditure,11043
148,Total.Rice.Expenditure,6402
148,Meat.Expenditure,6155
148,Total.Fish.and..marine.products.Expenditure,6612
148,Fruit.Expenditure,1920
148,Vegetables.Expenditure,7000
149,Bread.and.Cereals.Expenditure,13265
149,Total.Rice.Expenditure,12370
149,Meat.Expenditure,4165
149,Total.Fish.and..marine.products.Expenditure,3789
149,Fruit.Expenditure,1550
149,Vegetables.Expenditure,7190
150,Bread.and.Cereals.Expenditure,41328
150,Total.Rice.Expenditure,37265
150,Meat.Expenditure,5880
150,Total.Fish.and..marine.products.Expenditure,14401
150,Fruit.Expenditure,1850
150,Vegetables.Expenditure,5250
151,Bread.and.Cereals.Expenditure,23706
151,Total.Rice.Expenditure,21720
151,Meat.Expenditure,5372
151,Total.Fish.and..marine.products.Expenditure,4470
151,Fruit.Expenditure,2045
151,Vegetables.Expenditure,5605
152,Bread.and.Cereals.Expenditure,28986
152,Total.Rice.Expenditure,24737
152,Meat.Expenditure,5745
152,Total.Fish.and..marine.products.Expenditure,6042
152,Fruit.Expenditure,2270
152,Vegetables.Expenditure,6640
153,Bread.and.Cereals.Expenditure,37953
153,Total.Rice.Expenditure,31072
153,Meat.Expenditure,9610
153,Total.Fish.and..marine.products.Expenditure,7850
153,Fruit.Expenditure,2107
153,Vegetables.Expenditure,8875
154,Bread.and.Cereals.Expenditure,33839
154,Total.Rice.Expenditure,30770
154,Meat.Expenditure,5570
154,Total.Fish.and..marine.products.Expenditure,6510
154,Fruit.Expenditure,2585
154,Vegetables.Expenditure,7085
155,Bread.and.Cereals.Expenditure,38031
155,Total.Rice.Expenditure,30770
155,Meat.Expenditure,4915
155,Total.Fish.and..marine.products.Expenditure,6205
155,Fruit.Expenditure,2545
155,Vegetables.Expenditure,11260
156,Bread.and.Cereals.Expenditure,53707
156,Total.Rice.Expenditure,43140
156,Meat.Expenditure,5100
156,Total.Fish.and..marine.products.Expenditure,8690
156,Fruit.Expenditure,1600
156,Vegetables.Expenditure,8900
157,Bread.and.Cereals.Expenditure,6685
157,Total.Rice.Expenditure,5330
157,Meat.Expenditure,3845
157,Total.Fish.and..marine.products.Expenditure,3782
157,Fruit.Expenditure,1470
157,Vegetables.Expenditure,4158
158,Bread.and.Cereals.Expenditure,54739
158,Total.Rice.Expenditure,51437
158,Meat.Expenditure,5200
158,Total.Fish.and..marine.products.Expenditure,6131
158,Fruit.Expenditure,1965
158,Vegetables.Expenditure,6145
159,Bread.and.Cereals.Expenditure,28589
159,Total.Rice.Expenditure,24737
159,Meat.Expenditure,5045
159,Total.Fish.and..marine.products.Expenditure,5040
159,Fruit.Expenditure,3035
159,Vegetables.Expenditure,5990
160,Bread.and.Cereals.Expenditure,48305
160,Total.Rice.Expenditure,43460
160,Meat.Expenditure,17440
160,Total.Fish.and..marine.products.Expenditure,6295
160,Fruit.Expenditure,3310
160,Vegetables.Expenditure,8220
161,Bread.and.Cereals.Expenditure,43792
161,Total.Rice.Expenditure,40273
161,Meat.Expenditure,5620
161,Total.Fish.and..marine.products.Expenditure,11264
161,Fruit.Expenditure,2390
161,Vegetables.Expenditure,7735
162,Bread.and.Cereals.Expenditure,31461
162,Total.Rice.Expenditure,28810
162,Meat.Expenditure,7748
162,Total.Fish.and..marine.products.Expenditure,4020
162,Fruit.Expenditure,1880
162,Vegetables.Expenditure,7369
163,Bread.and.Cereals.Expenditure,34858
163,Total.Rice.Expenditure,33148
163,Meat.Expenditure,5201
163,Total.Fish.and..marine.products.Expenditure,6722
163,Fruit.Expenditure,2315
163,Vegetables.Expenditure,5760
164,Bread.and.Cereals.Expenditure,39221
164,Total.Rice.Expenditure,33069
164,Meat.Expenditure,17979
164,Total.Fish.and..marine.products.Expenditure,8024
164,Fruit.Expenditure,3000
164,Vegetables.Expenditure,5320
165,Bread.and.Cereals.Expenditure,36632
165,Total.Rice.Expenditure,32978
165,Meat.Expenditure,4625
165,Total.Fish.and..marine.products.Expenditure,6266
165,Fruit.Expenditure,1810
165,Vegetables.Expenditure,4450
166,Bread.and.Cereals.Expenditure,34989
166,Total.Rice.Expenditure,33191
166,Meat.Expenditure,2355
166,Total.Fish.and..marine.products.Expenditure,5659
166,Fruit.Expenditure,1610
166,Vegetables.Expenditure,3275
167,Bread.and.Cereals.Expenditure,15836
167,Total.Rice.Expenditure,11907
167,Meat.Expenditure,3290
167,Total.Fish.and..marine.products.Expenditure,4994
167,Fruit.Expenditure,1670
167,Vegetables.Expenditure,4567
168,Bread.and.Cereals.Expenditure,21483
168,Total.Rice.Expenditure,18068
168,Meat.Expenditure,4121
168,Total.Fish.and..marine.products.Expenditure,5696
168,Fruit.Expenditure,1600
168,Vegetables.Expenditure,4325
169,Bread.and.Cereals.Expenditure,34728
169,Total.Rice.Expenditure,30354
169,Meat.Expenditure,11750
169,Total.Fish.and..marine.products.Expenditure,6885
169,Fruit.Expenditure,2460
169,Vegetables.Expenditure,4630
170,Bread.and.Cereals.Expenditure,13403
170,Total.Rice.Expenditure,11513
170,Meat.Expenditure,4692
170,Total.Fish.and..marine.products.Expenditure,7159
170,Fruit.Expenditure,1805
170,Vegetables.Expenditure,5950
171,Bread.and.Cereals.Expenditure,21278
171,Total.Rice.Expenditure,19551
171,Meat.Expenditure,2550
171,Total.Fish.and..marine.products.Expenditure,4998
171,Fruit.Expenditure,1335
171,Vegetables.Expenditure,4250
172,Bread.and.Cereals.Expenditure,36026
172,Total.Rice.Expenditure,33070
172,Meat.Expenditure,5393
172,Total.Fish.and..marine.products.Expenditure,5222
172,Fruit.Expenditure,1625
172,Vegetables.Expenditure,4745
173,Bread.and.Cereals.Expenditure,20545
173,Total.Rice.Expenditure,16495
173,Meat.Expenditure,59736
173,Total.Fish.and..marine.products.Expenditure,4680
173,Fruit.Expenditure,1215
173,Vegetables.Expenditure,3285
174,Bread.and.Cereals.Expenditure,32508
174,Total.Rice.Expenditure,27639
174,Meat.Expenditure,10510
174,Total.Fish.and..marine.products.Expenditure,8454
174,Fruit.Expenditure,3180
174,Vegetables.Expenditure,4080
175,Bread.and.Cereals.Expenditure,56838
175,Total.Rice.Expenditure,53378
175,Meat.Expenditure,8648
175,Total.Fish.and..marine.products.Expenditure,6986
175,Fruit.Expenditure,1850
175,Vegetables.Expenditure,6060
176,Bread.and.Cereals.Expenditure,13778
176,Total.Rice.Expenditure,12470
176,Meat.Expenditure,2270
176,Total.Fish.and..marine.products.Expenditure,3879
176,Fruit.Expenditure,1505
176,Vegetables.Expenditure,3905
177,Bread.and.Cereals.Expenditure,34399
177,Total.Rice.Expenditure,29507
177,Meat.Expenditure,6094
177,Total.Fish.and..marine.products.Expenditure,8433
177,Fruit.Expenditure,1780
177,Vegetables.Expenditure,3075
178,Bread.and.Cereals.Expenditure,25623
178,Total.Rice.Expenditure,22098
178,Meat.Expenditure,6514
178,Total.Fish.and..marine.products.Expenditure,4395
178,Fruit.Expenditure,1250
178,Vegetables.Expenditure,4075
179,Bread.and.Cereals.Expenditure,36646
179,Total.Rice.Expenditure,33057
179,Meat.Expenditure,5436
179,Total.Fish.and..marine.products.Expenditure,5085
179,Fruit.Expenditure,1405
179,Vegetables.Expenditure,3300
180,Bread.and.Cereals.Expenditure,22013
180,Total.Rice.Expenditure,18775
180,Meat.Expenditure,5485
180,Total.Fish.and..marine.products.Expenditure,5936
180,Fruit.Expenditure,1700
180,Vegetables.Expenditure,3645
181,Bread.and.Cereals.Expenditure,15428
181,Total.Rice.Expenditure,13187
181,Meat.Expenditure,2570
181,Total.Fish.and..marine.products.Expenditure,4318
181,Fruit.Expenditure,1475
181,Vegetables.Expenditure,4470
182,Bread.and.Cereals.Expenditure,32675
182,Total.Rice.Expenditure,30354
182,Meat.Expenditure,4924
182,Total.Fish.and..marine.products.Expenditure,5571
182,Fruit.Expenditure,1225
182,Vegetables.Expenditure,2775
183,Bread.and.Cereals.Expenditure,54552
183,Total.Rice.Expenditure,43034
183,Meat.Expenditure,37468
183,Total.Fish.and..marine.products.Expenditure,26288
183,Fruit.Expenditure,5235
183,Vegetables.Expenditure,14180
184,Bread.and.Cereals.Expenditure,50783
184,Total.Rice.Expenditure,45505
184,Meat.Expenditure,8572
184,Total.Fish.and..marine.products.Expenditure,9966
184,Fruit.Expenditure,1930
184,Vegetables.Expenditure,6345
185,Bread.and.Cereals.Expenditure,45179
185,Total.Rice.Expenditure,36200
185,Meat.Expenditure,31429
185,Total.Fish.and..marine.products.Expenditure,11648
185,Fruit.Expenditure,2035
185,Vegetables.Expenditure,6075
186,Bread.and.Cereals.Expenditure,31109
186,Total.Rice.Expenditure,24737
186,Meat.Expenditure,7981
186,Total.Fish.and..marine.products.Expenditure,11928
186,Fruit.Expenditure,1710
186,Vegetables.Expenditure,10420
187,Bread.and.Cereals.Expenditure,39455
187,Total.Rice.Expenditure,36428
187,Meat.Expenditure,15230
187,Total.Fish.and..marine.products.Expenditure,10672
187,Fruit.Expenditure,2810
187,Vegetables.Expenditure,6825
188,Bread.and.Cereals.Expenditure,53586
188,Total.Rice.Expenditure,48570
188,Meat.Expenditure,12498
188,Total.Fish.and..marine.products.Expenditure,10314
188,Fruit.Expenditure,2430
188,Vegetables.Expenditure,5060
189,Bread.and.Cereals.Expenditure,37950
189,Total.Rice.Expenditure,33100
189,Meat.Expenditure,10920
189,Total.Fish.and..marine.products.Expenditure,6972
189,Fruit.Expenditure,1860
189,Vegetables.Expenditure,4300
190,Bread.and.Cereals.Expenditure,42705
190,Total.Rice.Expenditure,38436
190,Meat.Expenditure,10495
190,Total.Fish.and..marine.products.Expenditure,9939
190,Fruit.Expenditure,2180
190,Vegetables.Expenditure,4900
191,Bread.and.Cereals.Expenditure,30654
191,Total.Rice.Expenditure,26648
191,Meat.Expenditure,9762
191,Total.Fish.and..marine.products.Expenditure,7872
191,Fruit.Expenditure,2000
191,Vegetables.Expenditure,6185
192,Bread.and.Cereals.Expenditure,40503
192,Total.Rice.Expenditure,37294
192,Meat.Expenditure,10518
192,Total.Fish.and..marine.products.Expenditure,9300
192,Fruit.Expenditure,1735
192,Vegetables.Expenditure,7150
193,Bread.and.Cereals.Expenditure,40014
193,Total.Rice.Expenditure,36100
193,Meat.Expenditure,12320
193,Total.Fish.and..marine.products.Expenditure,13399
193,Fruit.Expenditure,1725
193,Vegetables.Expenditure,7140
194,Bread.and.Cereals.Expenditure,20297
194,Total.Rice.Expenditure,18012
194,Meat.Expenditure,11514
194,Total.Fish.and..marine.products.Expenditure,8922
194,Fruit.Expenditure,2470
194,Vegetables.Expenditure,6610
195,Bread.and.Cereals.Expenditure,33706
195,Total.Rice.Expenditure,28676
195,Meat.Expenditure,11244
195,Total.Fish.and..marine.products.Expenditure,9712
195,Fruit.Expenditure,1490
195,Vegetables.Expenditure,5706
196,Bread.and.Cereals.Expenditure,18411
196,Total.Rice.Expenditure,12667
196,Meat.Expenditure,12556
196,Total.Fish.and..marine.products.Expenditure,12469
196,Fruit.Expenditure,2100
196,Vegetables.Expenditure,6140
197,Bread.and.Cereals.Expenditure,44683
197,Total.Rice.Expenditure,36200
197,Meat.Expenditure,13007
197,Total.Fish.and..marine.products.Expenditure,12554
197,Fruit.Expenditure,2850
197,Vegetables.Expenditure,8080
198,Bread.and.Cereals.Expenditure,8458
198,Total.Rice.Expenditure,7692
198,Meat.Expenditure,3244
198,Total.Fish.and..marine.products.Expenditure,3563
198,Fruit.Expenditure,1570
198,Vegetables.Expenditure,3480
199,Bread.and.Cereals.Expenditure,41231
199,Total.Rice.Expenditure,36821
199,Meat.Expenditure,22642
199,Total.Fish.and..marine.products.Expenditure,12484
199,Fruit.Expenditure,2245
199,Vegetables.Expenditure,4979
200,Bread.and.Cereals.Expenditure,56504
200,Total.Rice.Expenditure,51287
200,Meat.Expenditure,9622
200,Total.Fish.and..marine.products.Expenditure,11936
200,Fruit.Expenditure,1765
200,Vegetables.Expenditure,6465
